site_id,source_id,lchto_id,name,name2,latitude,longitude,coord_precision,coord_source,morphology,chronology,short_period,period_LP,period_MP,period_UP,period_EP,period_N0,period_N1.1,period_N1.2,period_N2,period_N3,period_C1,period_C2,period_C3,period_B,period_H,area,finds_n,excavated,references,comments
370,,,Mahidasht 120,,34.33880982,47.1904731,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
371,,,Mahidasht 121,,34.34886405,47.2047166,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
372,,,Mahidasht 122,,34.32037705,47.22063581,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
373,,,Mahidasht 123,,34.33043129,47.24912281,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
374,,,Mahidasht 124,,34.2927279,47.25247422,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
375,,,Mahidasht 125,,34.2499974,47.2189601,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
376,,,Mahidasht 126,,34.24161887,47.19131095,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
377,,,Mahidasht 127,,34.19972622,47.20052733,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
378,,,Mahidasht 128,,34.19888836,47.29101546,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
379,,,Bestansur,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,Bouqras,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,Chagar Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,,,Areni 1 cave,,39.7215,45.1855,,Literature,,,,,,,,,,,,,,,,,,,,,Areshian 2012; Pinhasi et al. 2010,
383,,,Grai Resh,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,Uqair A,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,,,Eshkaft-e Gelimgoush,,34.687622,46.87745,,Literature,,Early Upper Palaeolithic and Neolithic,UP+N,,,x,,?,?,?,?,?,,,,,,,,,Heydari-Guran et al. 2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,,,Dalma Tepe,,37.013644,CEC,,Literature,,,,,,,,,,,,,,,,,,,,,Stuckenrath 1963,
388,,,Dava Göz,,38.490335,45.032101,,Literature,,,,,,,,,,,,,,,,,,,,,Abedi 2016,
389,,,Dinkha Tepe,,37.006287,45.167536,,Literature,,,,,,,,,,,,,,,,,,,,,Lawn 1970; Lawn 1973,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,,Es Sinn,,35.27,40.35,,Literature,,,,,,,,,,,,,,,,,,,,,Roodenberg 1979; Bernbeck 1994; Benz 2014; CalPal; Flohr et al. 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,,,Gird-i Rostam,,35.753,45.915,,Literature,,,,,,,,,,,,,,,,,,,,,Potts et al. 2019,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,,Gurga Chiya,,35.213442,45.921032,,Literature,,,,,,,,,,,,,,,,,,,,,Wengrow et al. 2016,
398,,,Gusir Höyük,,37.727352,41.821224,,Literature,,,,,,,,,,,,,,,,,,,,,Karul 2011; Benz 2014; Flohr et al. 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
403,MR003,,Mehran 3,,33.0442,46.548,5,Literature,,Lower Palaeolithic,,x,,,,,,,,,,,,,,40000,,,Darabi et al. 2012,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
405,MR005,,Mehran 5,,33.0484,46.5607,5,Literature,,Upper Palaeolithic,,,,x,,,,,,,,,,,,2500,,,Darabi et al. 2012,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
410,MR009,,Mehran 9,,33.1085,46.493,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,100000,,,Darabi et al. 2012,
411,MR010,,Mehran 10,,33.1504,46.5075,5,Literature,,"Upper Palaeolithic, Epipalaeolithic?",,,,x,x,,,,,,,,,,,600,,,Darabi et al. 2012,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
413,MR012,,Mehran 12,,33.094,46.4573,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,6750,,,Darabi et al. 2012,
414,MR013,,Mehran 13,,33.0944,46.4407,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,300000,,,Darabi et al. 2012,
415,MR014,,Mehran 14,,33.113,46.4737,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,80000,,,Darabi et al. 2012,
416,MR015,,Amar Merdeg 1,Mehran 15,33.1688,46.2622,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,162500,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
417,MR016,,Amar Merdeg 2,Mehran 16,33.1719,46.2586,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,52500,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
418,MR017,,Amar Merdeg 3,Mehran 17,33.1853,46.2406,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,2000000,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
419,MR018,,Amar Merdeg 4,Mehran 18,33.1897,46.2257,5,Literature,,"Lower Palaeolithic, Middle Palaeolithic",,x,x,,,,,,,,,,,,,2100000,,,Biglari et al. 2000; Biglari & Shidrang 2006; Darabi et al. 2012,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
422,MR021,,Mehran 21,,33.1774,46.2023,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,1280000,,,Darabi et al. 2012,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
424,MR023,,Mehran 23,,33.1365,46.2,5,Literature,,Lower Palaeolithic,,x,,,,,,,,,,,,,,3000,,,Darabi et al. 2012,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
435,MR034,,Kelaw Pikeh,Mehran 34,33.1069,46.5673,5,Literature,,Upper Palaeolithic,,,,x,,,,,,,,,,,,216,,,Nokandeh 2010; Darabi et al. 2012,
436,MR035,,Mehran 35,,33.0602,46.5499,5,Literature,,,,,,,,,,,,,,,,,,180000,,,Darabi et al. 2012,
437,MR036,,Mehran 36,,33.0602,46.5499,5,Literature,,Middle Palaeolithic,,,x,,,,,,,,,,,,,8800000,,,Darabi et al. 2012,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for MR sites
475,,,K-132,,36.6,41.07,,Literature,,,,,,,,,,,,,,,,,,,,,Hole 2001,
476,,,Kamiltepe,,40.0528,47.4614,,Literature,,,,,,,,,,,,,,,,,,,,,Aliyev and Helwing 2009,
477,,,Körtik Tepe,,37.81571,40.98802,,Literature,,,,,,,,,,,,,,,,,,,,,,
478,,,Karintak,,39.74,46.77,,Literature,,,,,,,,,,,,,,,,,,,,,Margaryan et al. 2017,
479,,,Kashkashok I,,36.638837,40.63879,,Literature,,,,,,,,,,,,,,,,,,,,,Flohr et al. 2016,
480,,,Kenan Tepe,,37.8311,40.813691,,Literature,,,,,,,,,,,,,,,,,,,,,Parker and Dodd 2005; Parker 2010; Flohr et al. 2016; Glatz et al. 2019,
481,,,RY-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,,,Khirbet Khatuniyeh,,36.66666667,42.83333333,,Literature,,,,,,,,,,,,,,,,,,,,,Bowman et al. 1990,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,,,Kul Tepe Jolfa (Hadishahr),,38.837889,45.658411,,Literature,,,,,,,,,,,,,,,,,,,,,Abedi and Omrani 2015,
488,,,Masis Blur,,40.0139,44.4858,,Literature,,,,,,,,,,,,,,,,,,,,,Martirosyan-Olshansky 2013,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,,,Ovçular Tepesi,,39.5851,45.1125,,Literature,,,,,,,,,,,,,,,,,,,,,Marro et al. 2009; Marro et al. 2011; Marro et al. 2014,
493,,,Pisdeli Tepe,,37.019246,45.482743,,Literature,,,,,,,,,,,,,,,,,,,,,Ralph 1959; Stuckenrath 1963; Hole 1987; Chataigner 1995,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,Rezaiyeh Road Tepe,,37.71,45.15,,Literature,,,,,,,,,,,,,,,,,,,,,Stuckenrath et al. 1966; Flohr et al. 2016,
496,,,Salat Tepe,,37.839588,40.901733,,Literature,,,,,,,,,,,,,,,,,,,,,Koizumi et al. 2016,
497,,,Satu Qala,,35.87434,44.696323,,Literature,,,,,,,,,,,,,,,,,,,,,Pappi 2016,
498,,,Seker al-Aheimar,,36.6667,40.3167,,Literature,,,,,,,,,,,,,,,,,,,,,Nishiaki 2007; Nishiaki and Le Mière 2005; Flohr et al. 2016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,,,Surezha,,35.998566,43.885129,,Literature,,,,,,,,,,,,,,,,,,,,,Stein and Alizadeh 2014,
501,RH-001,,Tall e-Geser,,31.3582,49.4194,1,Literature,Tell,Latte Middle Susiana to Safavid,,,,,,,,,,,,x,x,x,x,87100,,1,Alizadeh et al. 2014,
502,RH-002,,Ishan Alyamaleh,,31.3541,49.435,1,Literature,Tell,Late Middle Susiana and Islamic,,,,,,,,,,,,x,,,x,2000,3,0,Alizadeh et al. 2014,
503,RH-003,,Tall-e Eswedeh,,31.3315,49.4427,1,Literature,Tell,Early Susiana,,,,,,,,,,,x,,,,,3600,,0,Alizadeh et al. 2014,
504,RH-004,,Tall-e Quvileh,,31.3052,49.4719,1,Literature,Tell,"Sukkalmah, Middle Elamite, Achaemenid",,,,,,,,,,,,,,x,x,12000,,0,Alizadeh et al. 2014,
505,RH-005,,Ishan Ghazo,,31.3166,49.4908,1,Literature,Tell,"Late Susiana, Achaemenid, Sasanian",,,,,,,,,,,,,x,,,2000,,0,Alizadeh et al. 2014,
506,RH-006,,Tall-e Subiti,Marbache cemetery,31.2672,49.4328,1,Literature,Tell,"Late Middle Susiana, Late Susa II, proto-Elamite, Sukkalmah, Middle Elamite",,,,,,,,,,,,x,x,,,23600,,0,Alizadeh et al. 2014,
507,RH-007,,Tall-e Zarini,Ishan Seyyed Harab,31.2377,49.4809,1,Literature,Tell,"Sukkalmah, Elamite, Sasanian",,,,,,,,,,,,,,x,x,17700,,0,Alizadeh et al. 2014,Split into North and South by Alizadeh et al. Coordinates of North.
508,RH-008,,Ishan Bergheishe,,31.2179,49.4805,1,Literature,Tell,"Sasanian, post-Sasanian",,,,,,,,,,,,,,,x,19800,,0,Alizadeh et al. 2014,
509,RH-009,,Ishan Etheier,,31.1918,49.5098,1,Literature,Tell,"Parthian, Sasanian",,,,,,,,,,,,,,,x,70000,,0,Alizadeh et al. 2014,
510,RH-010,,Ishan Yamaleh,Tepe Mal-e Sandali,31.1859,49.5273,1,Literature,Tell,"Late Middle Susiana, Late Susiana 1",,,,,,,,,,,,x,x,,,2200,,0,Alizadeh et al. 2014,
511,RH-011,,Tappeh Bormi,,31.2413,49.5902,1,Literature,Tell,"Sukkalmah, Elamite, Parthian, Sasanian",,,,,,,,,,,,,,x,x,18360,,0,Alizadeh et al. 2014,
512,RH-012,,Ram Hormuz 12,,,,,Literature,,Contemporary,,,,,,,,,,,,,,,x,34000,,0,Alizadeh et al. 2014,
513,RH-013,,Ram Hormuz 13,,31.2945,49.6282,1,Literature,,Contemporary,,,,,,,,,,,,,,,x,3400,,0,Alizadeh et al. 2014,
514,RH-014,,Emamzadeh Abbas Ali,,31.2817,49.6498,1,Literature,Tell,"Sukkalmah, Elamite, Parthian, Sasanian, post-Sasanian",,,,,,,,,,,,,,x,x,88400,,0,Alizadeh et al. 2014,
515,RH-015,,Dar Chehel,,,,,Literature,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
516,RH-016,,RH-016,,,,,Literature,Flat open air,"Post-Safavid, Qajar",,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
517,RH-017,,Tall-e Mullah Suzi,Tall-e Huri Nemat,3459356,370907,1,Literature,Tell,"Seljuk, Timurid?, Safavid, post-Safavid/Qajar",,,,,,,,,,,,,,,,3000,,,Alizadeh et al. 2014,Split into North and South by Alizadeh et al. Coordinates of North.
518,RH-018,,Sartoli,,3457711,365155,1,Literature,Tell,"Late Middle Susiana, Late Susiana 1, Late Susiana 2, Ilkhanid, Safavid",,,,,,,,,,,,,,,,33700,,,Alizadeh et al. 2014,
519,RH-019,,Ishan Abed,,3455464,354999,1,Literature,,"Late Middle Susiana, Late Susiana 1",,,,,,,,,,,,,,,,5000,,,Alizadeh et al. 2014,
520,RH-020,,RH-020,,3460015,351579,1,,,Sasanian?,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
521,RH-021,,Peer Haji,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
522,RH-022,,Ishan Gharrab,Ishan Abu Ogbur,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
523,RH-023,,Ishan Deghibesh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
524,RH-024,,Char Peer,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
525,RH-025,,Jaliyat,Darvizeh,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
526,RH-026,,Basitin,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
527,RH-027,,RH-027,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
528,RH-028,,RH-028,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
529,RH-029,,RH-029,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
530,RH-030,,RH-030,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
531,RH-031,,Ishan Ezhary,Tall-e Toraifeh,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
532,RH-032,,Tall-e Abbas,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
533,RH-033,,RH-033,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
534,RH-034,,Tappeh Sar Cheshmeh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
535,RH-035,,Dareh Doon,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
536,RH-036,,Ram Hormuz cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
537,RH-037,,RH-037,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
538,RH-038,,RH-038,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
539,RH-039,,Tall-e Sur,Surkh,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
540,RH-040,,Tall-e Mava,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
541,RH-041,,Ram Hormuz cistern,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
542,RH-042,,Qaleh Kohneh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
543,RH-043,,Emamzadeh Bibi Taj,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
544,RH-044,,Kharman Khak,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
545,RH-045,,Tall-e Mokhtari,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
546,RH-046,,Qaleh Marbacheh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
547,RH-047,,Qaleh Qaravul,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
548,RH-048,,RH-048,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
549,RH-049,,RH-049,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
550,RH-050,,RH-050,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
551,RH-051,,RH-051,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
552,RH-052,,Tall-e Basedi Olya,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
553,RH-053,,Tall-e Basedi Sofla,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
554,RH-054,,Zoveidi Mosa (RH-054),,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
555,RH-055,,Zoveidi Mosa 2 (RH-055),,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
556,RH-056,,Dehyur Village,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
557,RH-057,,Dehyur old cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
558,RH-058,,Jobaji,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
559,RH-059,,RH-059,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
560,RH-060,,Asiab-e Dehyur,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
561,RH-061,,Asyab-e Basedi,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
562,RH-062,,RH-062,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
563,RH-063,,Tall-e Gorgi,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
564,RH-064,,Peer Aziz,Qabrestan Do Gosh,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
565,RH-065,,Mehr al-Nesa,"Bahr al Nesa, Kheir al-Nesa",,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
566,RH-066,,Qaleh Sheikh,Do Piran,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
567,RH-067,,Kut,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
568,RH-068,,Ishan Abu Wawieh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
569,RH-069,,Ishan Abu Sharr Galleh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
570,RH-070,,Ishan Azad,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
571,RH-071,,Ishan Seyyed Shebeiyb,Tall-e Toppi,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
572,RH-072,,Qaleh Kohneh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
573,RH-073,,RH-073,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
574,RH-074,,Tall-e Makineh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
575,RH-075,,Mashlush,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
576,RH-076,,Jaber Nesa,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
577,RH-077,,Tall-e Gapo Cham,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
578,RH-078,,Tall-e Cheshmeh Seyyed,Tall-e Kavireh,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
579,RH-079,,Felifel,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
580,RH-080,,Tall-e Halvati,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
581,RH-081,,Ishan Embrij,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
582,RH-082,,RH-082,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
583,RH-083,,Cham Hashem,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
584,RH-084,,Tall-e Gobeir,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
585,RH-085,,Tall-e Suz,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
586,RH-086,,Qaleh Sefid,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
587,RH-087,,Qaleh Quchi,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
588,RH-088,,Bard-e Yal Rustam,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
589,RH-089,,Abshar-e O Mahak,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
590,RH-090,,RH-090,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
591,RH-091,,Pacheh Kuh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
592,RH-092,,Qaleh Dav Dokhtar,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
593,RH-093,,Tall-e Gur Piyazi,Char Taq,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
594,RH-094,,Zir Zard,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
595,RH-095,,Ain Korreh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
596,RH-096,,Bulaibul,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
597,RH-097,,Dimeh Sadat,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
598,RH-098,,RH-098,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
599,RH-099,,Ali Mokhlet,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
600,RH-100,,RH-100,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
601,RH-101,,Qadamgah-e Khezr Nabi,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
602,RH-102,,Tappeh Seyyed Mohammad,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
603,RH-103,,Bagh-e Manuchehri,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
604,RH-104,,Tall-e Kayd,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
605,RH-105,,Ishan Eshmileh,,,,,,,,,,,,,,,,,,,,,,,,,,Alizadeh et al. 2014,
